ID,Data (Sensor),Concelho,Freguesia,Latitude,Longitude,Altitude,Geologia,Visualizacao,DescriçãoDGPC,QualidadedaImagem,Dimensao,AlturaAtual,AlturaEstimadaNoPassado,Forma,Esteios,Conservacao,Chapeu,Corredor,Mamoa,TipoRocha,AfloramentoRochoso,Relevo,LinhaAgua,VegetacaoTipo,COS2015,COS2015DefinicaoLevel5,ProximidadesCOS
Entreáguas 2,4/2/2015,Mora,Pavia,38.938823,-8.04452,96,Q3,No,Yes,Bad,n/a,n/a,n/a,n/a,4,Bad,n/a,n/a,n/a,n/a,No,No,Yes,Rasteira,PAP,PAP,PAP
Entreáguas 3,4/2/2015,Mora,Pavia,38.938462,-8.04429,15,Q3,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Densa,PAP,PAP,PAP
Entreáguas 4,4/2/2015,Mora,Pavia,38.938644,-8.046596,0,Q3,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Destruida,n/a,n/a,n/a,n/a,No,No,Yes,Densa,PAP,PAP,PAP
Ferragial da Fonte,5/25/2013,Mora,Pavia,38.899627,-8.029352,0,YR,Yes,Yes,Good,2.4,n/a,n/a,n/a,6,Bad,n/a,n/a,n/a,n/a,Yes,No,Yes,Rasteira,PAP,PAP,SAF/SA/OLI
Ferragial de Nossa Senhora,8/5/2017,Mora,Pavia,38.891147,-8.016686,190,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,Destruída,n/a,n/a,n/a,n/a,No,No,No,Densa,FMN,FE,TA/TUC-SAF/SAFF
Figueiras 1,8/5/2017,Mora,Pavia,38.900112,-7.979207,90,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,7,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Zona de Plantação,SAF,SA,SAF/SA
Figueiras 2,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,3,Bad,n/a,n/a,Vestígio,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Figueirinhas 3,8/5/2017,Mora,Pavia,38.94372,-7.987764,98,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,Vestígio,n/a,No,No,Yes,Densa,SAF,CTSR,SAF/CTSR
Folha da Anta,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Forca Velha,4/2/2015,Mora,Pavia,38.898996,-8.029929,0,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,Destruído,n/a,n/a,n/a,n/a,No,No,Yes,Rasteira,PAP,PAP,SAF/SA/OLI
Freixo,4/2/2015,Mora,Pavia,38.882938,-8.004713,154,YR,No,Yes,Bad,n/a,n/a,n/a,n/a,1,Bad,n/a,n/a,n/a,n/a,Yes,No,No,Muito Densa,FMN,FE,FMN/FE
Gonçala 1,4/2/2015,Mora,Pavia,38.94024,-8.017298,93,QQ,Yes,Yes,Good,3.0,n/a,n/a,Polygonal,8,Good,Yes,Yes,Vestígio,n/a,Yes,Yes,Yes,Densa,SAF,SA,FMN/FA
Gonçala 2,4/2/2015,Mora,Pavia,38.944193,-8.007372,110,YZZ,No,Yes,Good,n/a,n/a,n/a,n/a,1,Bad,n/a,n/a,Vestígio,n/a,Yes,Yes,Yes,Rasteira,SAF,CTSR,SAF/CTSR
Gonçala 3,4/2/2015,Mora,Pavia,38.944285,-8.008525,102,YZZ,Yes,Yes,Good,1.8,n/a,n/a,Circular,8,Bad,n/a,Yes,n/a,n/a,Yes,Yes,Yes,Rasteira,SAF,CTSR,SAF/CTSR
Gonçala 4,4/2/2015,Mora,Pavia,38.940783,-8.019488,95,YZZ,No,Yes,Good,1.8,n/a,n/a,n/a,5,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,FMN/FA
Herdade das Figueiras 1,4/2/2015,Mora,Pavia,38.904443,-7.984731,90,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,n/a,Tombado,Yes,n/a,n/a,Yes,No,Yes,Densa,SAF,SA,SAF/CTSR
Herdade das Figueiras 2,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,2.2,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Jordana,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Destruído,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Lapeira 1,9/1/2013,Mora,Pavia,38.889791,-8.011501,0,YR,Yes,Yes,Good,3.4,2.5,n/a,Polygonal,7,Good,Yes,Yes,n/a,n/a,Yes,No,No,Densa,SAF,CT,SAF/CT
Lapeira 2,9/1/2013,Mora,Pavia,38.8915,-8.009193,0,YR,Yes,Yes,Good,2.0,n/a,n/a,Polygonal,7,Good,n/a,No,n/a,n/a,Yes,No,No,Densa,SAF,SS,SAF/SS
Lapeira 3,9/1/2013,Mora,Pavia,38.893295,-8.00285,0,YR,No,Yes,Bad,2.4,n/a,n/a,n/a,5,n/a,n/a,Yes,n/a,n/a,Yes,Yes,Yes,Rasteira,SAF,SA,SAF/SA
Madre de Deus 1,4/2/2015,Mora,Pavia,38.929207,-8.082357,0,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,No,Muito Densa,SAF,SA,SAF/SA
Madre de Deus 2,4/2/2015,Mora,Pavia,38.925153,-8.081207,173,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Destruída,n/a,n/a,n/a,n/a,Yes,No,No,Densa,SAF,SA,SAF/SA
Madre de Deus 3,4/2/2015,Mora,Pavia,38.926232,-8.077516,162,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,2,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Matalote 1,4/2/2015,Mora,Pavia,38.896853,-8.054024,140,YR,Yes,Yes,Good,2.5,n/a,n/a,Polygonal,7,Good,n/a,Yes,n/a,n/a,Yes,Yes,Yes,Densa,PAP,PAP,PAP
Matalote 2,4/2/2015,Mora,Pavia,38.901719,-8.055517,142,YR,No,Yes,Good,n/a,n/a,n/a,n/a,3,Bad,Tombado,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,FMN,FPM,PAP-SAF/SA
Monte das Figueiras,4/2/2015,Mora,Pavia,38.89029,-7.976577,176,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,SAF,SA,FMN/FOF/FA
Montinho de Cima,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,1.8,n/a,n/a,Polygonal,n/a,n/a,Yes,Yes,Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Monte do Lobo,4/2/2015,Mora,Pavia,38.997853,-8.199543,n/a,E,No,No,Good,2.0,n/a,n/a,Polygonal,5,Bad,No,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,SAF,SS,SAF/SS
Oliveira 1,8/5/2017,Mora,Pavia,38.922059,-7.956443,136,PCC,Yes,Yes,Bad,2.7,n/a,n/a,Polygonal,7,Good,Yes,Yes,n/a,n/a,No,No,Yes,Zona de Plantação,SAF,SA,PAP
Oliveira 2,8/5/2017,Mora,Pavia,38.922508,-7.955866,130,PCC,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Não localizada,n/a,n/a,n/a,n/a,Yes,No,Yes,Densa,SAF,SA,PAP
Oliveira 3,8/5/2017,Mora,Pavia,38.924492,-7.95736,134,PCC,No,Yes,Bad,2.2,n/a,n/a,Polygonal,7,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,SAF,SA,PAP
Outeiro da Forca,8/5/2017,Mora,Pavia,38.880068,-8.01728,0,QQ,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Destruída,n/a,n/a,n/a,n/a,No,No,No,Rasteira,SAF,SAFF,PAP-TA/ICE
Píncaros 1,5/25/2013,Mora,Pavia,38.991844,-8.19102,n/a,YMM,No,No,Bad,2.0,n/a,n/a,Circular,3,Bad,Yes,n/a,n/a,n/a,Yes,Yes,No,Densa,SAF,SS,SAF/SS
Píncaros 2,5/25/2013,Mora,Pavia,38.988573,-8.194168,n/a,YMM,No,No,Bad,n/a,n/a,n/a,Polygonal,5,Bad,No,n/a,n/a,n/a,Yes,No,No,Muito Densa,FMN,FS,FMN/FS
Pucícaros 1,5/25/2013,Mora,Pavia,38.891349,-8.04089,0,QQ,No,Yes,Good,2.0,n/a,n/a,n/a,n/a,Não Localizada,n/a,n/a,n/a,n/a,Yes,No,Yes,Zona de Gado,SAF,SA,PAP
Pucícaros 2,5/25/2013,Mora,Pavia,38.892699,-8.039159,0,QQ,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,Destruida,n/a,n/a,n/a,n/a,Yes,No,No,Muito Densa,SAF,SA,PAP
Reguengo,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Não Localizada,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Remendo 1,9/1/2013,Mora,Pavia,38.888584,-7.98096,160,YR,No,Yes,Bad,n/a,n/a,n/a,Polygonal,7,Good,n/a,n/a,n/a,n/a,Yes,Yes,No,Muito Densa,FMN,FA,FMN/FOF-SAF/SA
Remendo 2,9/1/2013,Mora,Pavia,38.887221,-7.971743,160,YR,No,Yes,Bad,2.2,n/a,n/a,Polygonal,7,Good,Yes,n/a,n/a,n/a,No,Yes,Yes,Densa,SAF,SA,FMN/FOF
São Dionísio 2,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Destruido,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
São Miguel 1,n/a,Mora,Pavia,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
São Miguel 2,9/1/2013,Mora,Pavia,38.877777,-7.982251,150,YR,No,Yes,Good,n/a,n/a,n/a,Circular,n/a,n/a,Tombado,Yes,n/a,Granito,Yes,No,Yes,Densa,SAF,SA,FMN/FOF
São Miguel 3,9/1/2013,Mora,Pavia,38.889935,-7.980957,183,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,1,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,FMN,FA,FMN/FOF-SAF/SA
São Miguel 4,9/1/2013,Mora,Pavia,38.877567,-7.982712,n/a,YR,Yes,No,Bad,2.0,n/a,n/a,Polygonal,5,Good,No,Yes,n/a,n/a,Yes,No,Yes,Densa,SAF,SA,SAF/SA
São Miguel 5,9/1/2013,Mora,Pavia,38.882733,-8.001241,n/a,YR,No,No,Bad,n/a,n/a,n/a,n/a,2,Destruido,n/a,n/a,n/a,n/a,No,No,No,Muito Densa,FMN,FE,SAF/SA
Seixinho 1,9/1/2013,Mora,Pavia,38.783738,-8.142875,n/a,YR,No,No,Good,n/a,n/a,n/a,Polygonal,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,SAF,SA,SAF/SA
Seixinho 2,9/1/2013,Mora,Pavia,38.783741,-8.140198,n/a,YR,Yes,No,Good,2.0,n/a,n/a,Polygonal,3,Good,No,n/a,n/a,n/a,Yes,Yes,Yes,Muito Densa,SAF,SA,SAF/SA
Têra 1,9/1/2013,Mora,Pavia,38.901187,-7.974593,164,YZZ,No,Yes,Bad,n/a,n/a,n/a,Polygonal,7,Good,Yes,Yes,n/a,n/a,No,No,No,Densa,SAF,SA,SAF/SA
Têra 3,9/1/2013,Mora,Pavia,38.897667,-7.969875,171,YZZ,No,Yes,Good,n/a,n/a,n/a,n/a,2,n/a,Yes,n/a,n/a,n/a,No,No,No,Densa,SAF,SA,SAF/CTSR
Têra 4,9/1/2013,Mora,Pavia,38.896686,-7.976793,163,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,2,Bad,n/a,n/a,n/a,Granito,No,No,No,Densa,SAF,SA,SAF/SA
Têra 5,9/1/2013,Mora,Pavia,38.890815,-7.965396,172,YZZ,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,Vestígio,Granito,No,No,No,Densa,SAF,SA,SAF/OLI/CTSR
Têra 11,9/1/2013,Mora,Pavia,38.897321,-7.969323,n/a,YZZ,No,No,Bad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,No,No,No,Densa,SAF,SA,SAF/SAFF
Têra 12,9/1/2013,Mora,Pavia,38.890531,-7.965387,n/a,YZZ,Yes,No,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,No,No,No,Densa,PAP,PAP,SAF/SAFF
Vale de El Rei 1,9/1/2013,Mora,Pavia,38.905527,-7.987034,155,YZZ,No,Yes,Bad,2.4,n/a,n/a,Polygonal,7,Partido,n/a,Yes,n/a,n/a,Yes,No,Yes,Zona de Plantação,SAF,SA,SAF/CTSR
